Demo_RDM,Subject,ROI,RSA_Score
layer_4_pca.pkl,sub10,V3,0.10477238446961473
layer_4_pca.pkl,sub10,V4,0.05667302689913496
layer_5_pca.pkl,sub01,EBA,0.1316720815630573
layer_5_pca.pkl,sub01,FFA,0.06479499749202954
layer_5_pca.pkl,sub01,LOC,0.17822548457924434
layer_5_pca.pkl,sub01,PPA,0.09011505159310866
layer_5_pca.pkl,sub01,STS,0.07577047166482814
layer_5_pca.pkl,sub01,V1,0.0859196421009978
layer_5_pca.pkl,sub01,V2,0.10397299955702236
layer_5_pca.pkl,sub01,V3,0.11735822351561809
layer_5_pca.pkl,sub01,V4,0.09439054951046731
layer_5_pca.pkl,sub02,EBA,0.14644831312629683
layer_5_pca.pkl,sub02,FFA,0.08315596480846521
layer_5_pca.pkl,sub02,LOC,0.14999484893087825
layer_5_pca.pkl,sub02,PPA,0.07275150553833414
layer_5_pca.pkl,sub02,STS,0.04539014290127592
layer_5_pca.pkl,sub02,V1,0.1288360407869048
layer_5_pca.pkl,sub02,V2,0.10887795730901338
layer_5_pca.pkl,sub02,V3,0.11807794059565178
layer_5_pca.pkl,sub02,V4,0.11910973444080356
layer_5_pca.pkl,sub03,EBA,0.15115734678422252
layer_5_pca.pkl,sub03,FFA,0.094911548671258
layer_5_pca.pkl,sub03,LOC,0.15786817049003207
layer_5_pca.pkl,sub03,PPA,0.07628688648544316
layer_5_pca.pkl,sub03,STS,0.07657203532916709
layer_5_pca.pkl,sub03,V1,0.06629958851137306
layer_5_pca.pkl,sub03,V2,0.11197205136158238
layer_5_pca.pkl,sub03,V3,0.11253471790005556
layer_5_pca.pkl,sub03,V4,0.07971174584995754
layer_5_pca.pkl,sub04,EBA,0.15884508993019136
layer_5_pca.pkl,sub04,FFA,0.11761697460332901
layer_5_pca.pkl,sub04,LOC,0.18509741507855149
layer_5_pca.pkl,sub04,PPA,0.0812576292185708
layer_5_pca.pkl,sub04,STS,0.08856478187721502
layer_5_pca.pkl,sub04,V1,0.1475258492051401
layer_5_pca.pkl,sub04,V2,0.12211753915941871
layer_5_pca.pkl,sub04,V3,0.12681450863277105
layer_5_pca.pkl,sub04,V4,0.09660209672482141
layer_5_pca.pkl,sub05,EBA,0.15178260145390632
layer_5_pca.pkl,sub05,FFA,0.08507016506322461
layer_5_pca.pkl,sub05,LOC,0.17396077705423446
layer_5_pca.pkl,sub05,PPA,0.08402416209390695
layer_5_pca.pkl,sub05,STS,0.0923728557322637
layer_5_pca.pkl,sub05,V1,0.1301065799406248
layer_5_pca.pkl,sub05,V2,0.0924188216291987
layer_5_pca.pkl,sub05,V3,0.10648869650048694
layer_5_pca.pkl,sub05,V4,0.07763250493779715
layer_5_pca.pkl,sub06,EBA,0.1369754838583252
layer_5_pca.pkl,sub06,FFA,0.08587900082391954
layer_5_pca.pkl,sub06,LOC,0.16404952074868695
layer_5_pca.pkl,sub06,PPA,0.07599555687048769
layer_5_pca.pkl,sub06,STS,0.04607363551849348
layer_5_pca.pkl,sub06,V1,0.1315999982721458
